"","xmin","xmax","ymin","ymax","Name"
"xmin245",-76.6396422224863,-76.6233153191768,39.2755293241406,39.2859903477069,"Washington Village/Pigtown"
"xmin246",-76.6095016675855,-76.6035944992549,39.3283045152269,39.3363823990217,"Waverly"
"xmin247",-76.6976388671316,-76.6829910292228,39.3355899748596,39.3434081111606,"West Arlington"
"xmin248",-76.7044055856717,-76.6852426565088,39.3122866314643,39.3244572634642,"West Forest Park"
"xmin249",-76.5586078033541,-76.5429637775483,39.3534964320509,39.3654206505486,"Westfield"
"xmin250",-76.7111783461488,-76.6980450034929,39.2778365168929,39.2922433327776,"Westgate"
"xmin251",-76.644118613773,-76.6252134383907,39.2539253938496,39.2692225096807,"Westport"
"xmin252",-76.6697177592659,-76.6606627549165,39.2992482555323,39.3042832629882,"Winchester"
"xmin253",-76.6921323179235,-76.6811265683299,39.3127657857976,39.3214199054451,"Windsor Hills"
"xmin254",-76.6097914216975,-76.6027361539791,39.3470311563405,39.3527780393525,"Winston-Govans"
"xmin255",-76.6584107602203,-76.6420723393489,39.3295850572552,39.3452466750228,"Woodberry"
"xmin256",-76.6098808360889,-76.6023094489027,39.3519012745838,39.3554870873405,"Woodbourne-McCabe"
"xmin257",-76.696852205016,-76.6822983361342,39.3412863345563,39.3504861205358,"Woodmere"
"xmin258",-76.6282872311033,-76.6231341714289,39.3262480016123,39.3368865843325,"Wyman Park"
"xmin259",-76.695757024387,-76.6834402809253,39.2718196460431,39.2800551739607,"Yale Heights"
"xmin260",-76.6715017965178,-76.6474682696365,39.2656353086438,39.2769585756359,"Wilhelm Park"
"xmin261",-76.62357814644,-76.6133180533325,39.2840707983637,39.2877457459617,"Downtown West"
"xmin262",-76.5789787697306,-76.5556676579983,39.3133707133234,39.3299234343094,"Belair-Edison"
"xmin263",-76.5821310328604,-76.5729334770423,39.3142109811667,39.3170679085587,"Four By Four"
"xmin264",-76.6200771111044,-76.6128488517837,39.3177458591748,39.3325741539546,"Charles Village"
"xmin265",-76.6197177767075,-76.6151451954767,39.3141223758362,39.3178970107104,"Old Goucher"
"xmin266",-76.5728214728435,-76.5362697185741,39.2505266294893,39.2917689301073,"Canton Industrial Area"
"xmin267",-76.5671411695811,-76.5609156063947,39.277087178976,39.2868658549818,"Brewers Hill"
"xmin268",-76.6301001402163,-76.6189573477748,39.2698273023903,39.2854453101281,"Stadium/Entertainment Area"
"xmin269",-76.5989430499726,-76.5866853411488,39.278993811115,39.2892808769731,"Fells Point"
"xmin270",-76.6136193435743,-76.602753778544,39.2806712030045,39.2882799160815,"Inner Harbor"
"xmin271",-76.7112715930141,-76.6918489392744,39.3456447439393,39.3596023941729,"Reisterstown Station"
"xmin272",-76.6218794956413,-76.6016737078164,39.2559128371632,39.2671736036313,"Baltimore Peninsula"
"xmin273",-76.6123335279668,-76.5974099771624,39.2667279054703,39.2776275923713,"Riverside"
"xmin274",-76.6218607136328,-76.6163986163513,39.2669247150956,39.275370449218,"Spring Garden Industrial Area"
"xmin275",-76.6009358075702,-76.587620952102,39.265923894738,39.2741916442373,"Locust Point"
